Id_Instit;Cue;Id_Plan;Nombre;Anio;Anio_Estudio;Anios_Estructura;Varon;Mujer;Total;Oferta
5756;062064600;24734;Técnico Superior en Servicios Gastronómicos;;2017;;0;0;0;Superior Técnico;
5756;062064600;50276;Técnico Superior en Industria de Procesos;1º;2019;4;13;10;23;Superior Técnico;
5756;062064600;50276;Técnico Superior en Industria de Procesos;2º;2019;4;9;9;18;Superior Técnico;
5756;062064600;50276;Técnico Superior en Industria de Procesos;3º;2019;4;8;10;18;Superior Técnico;
5756;062064600;50276;Técnico Superior en Industria de Procesos;4º;2019;4;10;9;19;Superior Técnico;
5756;062064600;50276;Técnico Superior en Industria de Procesos;1º;2021;4;12;8;20;Superior Técnico;
5756;062064600;50276;Técnico Superior en Industria de Procesos;2º;2021;4;10;7;17;Superior Técnico;
5756;062064600;50276;Técnico Superior en Industria de Procesos;3º;2021;4;9;8;17;Superior Técnico;
5756;062064600;50276;Técnico Superior en Industria de Procesos;4º;2021;4;12;7;19;Superior Técnico;
5756;062064600;53246;Técnico Superior en Seguridad, Higiene y Control Ambiental Industrial;;2013;;0;0;0;Superior Técnico;
5756;062064600;53246;Técnico Superior en Seguridad, Higiene y Control Ambiental Industrial;;2015;;0;0;0;Superior Técnico;
5756;062064600;50276;Técnico Superior en Industria de Procesos;4º;2017;4;12;7;19;Superior Técnico;
5756;062064600;50276;Técnico Superior en Industria de Procesos;3º;2017;4;10;9;19;Superior Técnico;
5756;062064600;50276;Técnico Superior en Industria de Procesos;2º;2017;4;10;10;20;Superior Técnico;
5756;062064600;50276;Técnico Superior en Industria de Procesos;1º;2017;4;49;41;90;Superior Técnico;
5756;062064600;50276;Técnico Superior en Industria de Procesos;4º;2015;4;19;0;19;Superior Técnico;
5756;062064600;50276;Técnico Superior en Industria de Procesos;3º;2015;4;19;0;19;Superior Técnico;
5756;062064600;50276;Técnico Superior en Industria de Procesos;2º;2015;4;20;0;20;Superior Técnico;
5756;062064600;50276;Técnico Superior en Industria de Procesos;1º;2015;4;90;0;90;Superior Técnico;
5756;062064600;50276;Técnico Superior en Industria de Procesos;4º;2013;4;19;0;19;Superior Técnico;
5756;062064600;50276;Técnico Superior en Industria de Procesos;3º;2013;4;22;0;22;Superior Técnico;
5756;062064600;50276;Técnico Superior en Industria de Procesos;2º;2013;4;22;0;22;Superior Técnico;
5756;062064600;50276;Técnico Superior en Industria de Procesos;1º;2013;4;0;0;0;Superior Técnico;
5756;062064600;54759;Técnico Superior en Construcciones;4º;2019;4;16;6;22;Superior Técnico;
5756;062064600;54759;Técnico Superior en Construcciones;1º;2021;4;13;8;21;Superior Técnico;
5756;062064600;54759;Técnico Superior en Construcciones;2º;2021;4;15;5;20;Superior Técnico;
5756;062064600;54759;Técnico Superior en Construcciones;3º;2021;4;15;5;20;Superior Técnico;
5756;062064600;54759;Técnico Superior en Construcciones;4º;2021;4;16;5;21;Superior Técnico;
5756;062064600;155;Técnico Superior en Higiene y Seguridad en el Trabajo;3º;2021;3;24;18;42;Superior Técnico;
5756;062064600;155;Técnico Superior en Higiene y Seguridad en el Trabajo;2º;2021;3;24;17;41;Superior Técnico;
5756;062064600;155;Técnico Superior en Higiene y Seguridad en el Trabajo;1º;2021;3;28;21;49;Superior Técnico;
5756;062064600;155;Técnico Superior en Higiene y Seguridad en el Trabajo;3º;2019;3;25;22;47;Superior Técnico;
5756;062064600;155;Técnico Superior en Higiene y Seguridad en el Trabajo;2º;2019;3;29;18;47;Superior Técnico;
5756;062064600;155;Técnico Superior en Higiene y Seguridad en el Trabajo;1º;2019;3;30;18;48;Superior Técnico;
5756;062064600;7257;Técnico Superior en Electrónica;3º;2019;4;14;6;20;Superior Técnico;
5756;062064600;7257;Técnico Superior en Electrónica;4º;2019;4;15;6;21;Superior Técnico;
5756;062064600;7257;Técnico Superior en Electrónica;1º;2017;4;49;41;90;Superior Técnico;
5756;062064600;7257;Técnico Superior en Electrónica;2º;2017;4;17;6;23;Superior Técnico;
5756;062064600;7257;Técnico Superior en Electrónica;3º;2017;4;18;5;23;Superior Técnico;
5756;062064600;7257;Técnico Superior en Electrónica;4º;2017;4;16;4;20;Superior Técnico;
5756;062064600;7257;Técnico Superior en Electrónica;1º;2015;4;90;0;90;Superior Técnico;
5756;062064600;7257;Técnico Superior en Electrónica;2º;2015;4;23;0;23;Superior Técnico;
5756;062064600;7257;Técnico Superior en Electrónica;3º;2015;4;21;0;21;Superior Técnico;
5756;062064600;7257;Técnico Superior en Electrónica;4º;2015;4;20;0;20;Superior Técnico;
5756;062064600;7257;Técnico Superior en Electrónica;1º;2013;4;0;0;0;Superior Técnico;
