"id_direccion";"alias";"id_renabap";"manzana_renabap";"terreno_renabap";"latitud";"longitud";"calle_declarada";"altura_declarada";"esquina_declarada";"direccion_en_cvf";"es_ubicable";"direccion_normalizada";"calle";"altura";"piso";"depto";"manzana";"sector";"torre";"cp";"parcela";"lote";"entre_calle_1";"entre_calle_2";"calle_esquina";"casa";"terreno";"pasillo";"pasaje";"referencia_auxiliar";"observaciones";"tira";"chacra";"macizo";"seccion";"ruta";"km";"id_revision_dir"
1344082;"FF2_2403520";1786;"17";"12";-60.7041853;-32.9099552;"NAMUCURA";"";"";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
1326572;"FF2_2385944";1786;"42";"64";-60.7032795;-32.9137699;"MARIANO CABAL";"";"";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
1344421;"FF2_2403863";1786;"19";"41";-60.70414938;-32.90946795;"OLAVARRIA";"";"";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
1347413;"FF2_2406861";1786;"15";"47";-60.7032184;-32.9123031;"MARIANO CABAL";"1327BIS";"";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
1346491;"FF2_2405938";1786;"13";"35";-60.7053729;-32.9089897;"OLAVARRIA";"1600 BIS";"";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
1343365;"FF2_2402800";1786;"41";"42";-60.7042931;-32.9135703;"OLAVARRÍA 1200";"";"";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
1364188;"FF2_2423706";1786;"3";"18";-60.705855;-32.9131532;"SHEWSHER";"";"";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
689192;"FF2_598273";1786;"12";"72";-32.91087833;-60.70519833;"Maria De Los Angeles Y Olavarria";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
1471291;"FF2_2537769";1786;"7";"20";-60.7099683;-32.9102033;"CULLEN";"1650";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
691098;"FF2_600180";1786;"11";"39";-32.91105;-60.70491833;"Olavarria 1530 Bis";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
1315999;"FF2_2375329";1786;"32";"5";-60.7007401;-32.9124332;"OTHONEL";"1300 BIS";"";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
1351233;"FF2_2410705";1786;"33";"98";-60.7015126;-32.9144247;"OLAVARRIA 1316 BIS";"";"";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
1351252;"FF2_2410724";1786;"8";"1";-60.7064511;-32.9097434;"GARZON 1600 BIS";"";"";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
1429714;"FF2_2492838";1786;"40";"58";-60.7030963;-32.9131919;"CABAL";"1299 BIS";"";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"PASILLO";"";"";"";"";"";"";"";"";"";""
1353085;"FF2_2412567";1786;"22";"23";-60.70592421;-32.91176997;"SAN TANO";"";"";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
1346509;"FF2_2405956";1786;"9";"3";-60.7068967;-32.9091578;"GARZON";"1600 BIS";"";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
1347405;"FF2_2406853";1786;"33";"90";-60.7036938;-32.9130339;"CABAL";"1300 BIS PASILLO";"";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
1315947;"FF2_2375277";1786;"34";"65";-60.7014858;-32.9120255;"OTTONE";"1400 BIS";"";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"PASILLO DTO 3";"";"";"";"";"";"";"";"";"";""
1429717;"FF2_2492843";1786;"32";"1";-60.7009201;-32.9124023;"OTTONE";"1301 BIS";"";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"PASILLO";"";"";"";"";"";"";"";"";"";""
1390980;"FF2_2450625";1786;"31";"4";-60.70598;-32.91259833;"GARZON 1330 BIS";"";"";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
688953;"FF2_598034";1786;"12";"40";-32.91043688;-60.70529692;"";"";"";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
1314306;"FF2_2373626";1786;"34";"11";-60.7017963;-32.9116402;"PJE SAN JOSE";"";"OTTONE";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"OTTONE";"";"";"";"";"";"";"";"";"";"";"";"";""
1390979;"FF2_2450624";1786;"39";"19";-60.7060306;-32.9122731;"GARZON 1330 BIS";"";"";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
1343378;"FF2_2402813";1786;"13";"8";-60.7034504;-32.910946;"CABAL";"";"";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
